X,Y,co_v0_j1__v0_j0,co_v0_j2__v0_j1,co_v0_j3__v0_j2
0,0,9.185180516342452,4.377589879883195,2.692235518798797
0,1,7.1535686433207095,3.326954260274222,2.2840260734192643
0,2,6.200528909086778,3.5614902619953983,2.047442307929318
0,3,4.048767190806349,2.874436634879761,2.0600367796597694
0,4,2.864362896912278,2.6366060441466965,1.6469287109839188
0,5,1.7631643104548806,2.957677977046986,1.5601703916047782
0,6,1.560644801105097,2.6412762726694017,1.8776978574089107
0,7,1.247519071988586,1.8627250306345435,2.2417384962274096
0,8,1.4415440795051893,1.3697875307969558,1.7536297391734066
0,9,1.5068499950242547,2.6125170605374435,1.7234455116546634
0,10,2.9438366727822354,2.4851220504544287,1.9440098878495007
0,11,3.6028884188673636,2.1022537214973127,1.593958394062204
0,12,4.490243873503798,2.4336023702527685,1.6221203956991186
0,13,5.671675412888831,2.746622296597839,1.8336678738356207
0,14,8.446726680890134,3.438620451784239,1.9908379348937877
1,0,6.998997024081174,3.303223027851797,2.2789891643000955
1,1,7.7867907836768016,3.6842905180664154,2.1722258618550296
1,2,6.88664538877688,3.8605123269817323,2.403114685388853
1,3,5.156064535194915,3.089108135378489,2.2944812239187806
1,4,4.064849971848368,2.330690058512021,2.0505156850360473
1,5,3.4952803257766454,2.776171952851502,2.3305438821935622
1,6,2.2947781982418127,3.0653569953396533,2.1318313271374323
1,7,0.6006758971221408,2.578552527799242,2.115626328302208
1,8,2.4801030910054656,3.600142987443821,2.032115042580276
1,9,4.1442161060652145,3.6940454474863578,1.899355999329621
1,10,5.608919473906308,3.452164207321804,1.9792159946223384
1,11,3.887386431473565,2.738340211222044,1.9091490830061897
1,12,4.374341456739033,2.813143757355982,1.305425186370989
1,13,4.682419466526033,2.396317175037061,1.8227115976222685
1,14,5.799299302293901,3.4093696545524645,1.6883597344589785
2,0,4.911408555317151,3.3812094545771734,1.979485702856572
2,1,7.061514325225209,3.5051744365881636,2.4369156311083113
2,2,6.370207742890484,3.721307985048135,2.110822663900724
2,3,4.416374421798761,2.7586209683976004,1.6424542089504486
2,4,4.524637780512373,2.6431273125747383,1.4912961401008593
2,5,7.221586746178546,3.097032417835892,1.7494565556499357
2,6,2.493082319158332,3.239792234619285,2.2520238644878114
2,7,1.330110362002909,1.470896665537102,1.532437830081536
2,8,2.831110691828216,3.072014024000027,1.9730308477580505
2,9,2.9626202529559404,2.7319805433720306,1.6959766272542132
2,10,4.003204586463518,3.668408024341309,1.6555689413063963
2,11,4.029413812055165,3.541502713353436,2.039180390691489
2,12,3.383259255264727,2.7848854528673317,2.279451379092618
2,13,3.91972353006884,2.9217197148271485,1.5632865125556203
2,14,3.9859694032585464,2.4024984454794462,2.3947660796069368
3,0,3.4089205381429557,3.0234883048013246,2.3775373406548073
3,1,4.781342258927085,2.7080305222576144,1.8935333164396742
3,2,5.852180951225876,3.4823012412942815,3.0097433045222592
3,3,4.810366585795589,3.425543601427123,2.01786157852962
3,4,7.007998545189606,3.609286837658628,3.1301273198308395
3,5,3.9685463303739255,2.916949169653207,1.7790396057956268
3,6,1.5946524282476298,2.8453511090196155,2.0474419646690847
3,7,0.9543555810142987,2.101320050607201,2.2644583093238677
3,8,2.427296013630078,3.199410862133926,1.776297737673101
3,9,4.706291767599528,3.723162087135472,1.3802250675907297
3,10,7.6645780210213195,3.645202165787281,1.7469515060785539
3,11,4.610330921973871,2.5502789823260597,1.4606200032007628
3,12,5.379012250438811,2.42519447554904,2.0979332172979417
3,13,4.019891569902851,2.3694576848443667,1.1975335631856197
3,14,3.7265936097679413,2.580453638723807,1.5951739646358063
4,0,2.9364266578340823,2.5249081882325624,1.359020537661456
4,1,2.653739772053601,2.503823949488519,1.6677406167805078
4,2,3.9921379927839045,3.3222973849883948,2.1784786501583295
4,3,4.9988232628834695,3.271477468079727,1.804051044329504
4,4,2.308886460975589,2.3158962472224696,1.6069162681244897
4,5,1.6129890323973535,1.6532389471879088,2.035271873558497
4,6,2.0780505497497237,2.850158419836352,2.4607841122219583
4,7,1.3804888255959533,1.968881625845032,2.1853827770845475
4,8,2.3777407449760197,2.923825666735689,1.8233154659406012
4,9,3.639449993038887,2.9835599329110476,1.931575115677449
4,10,5.028462925243012,3.6761583883371145,2.5040896186173147
4,11,5.4482840542656445,3.2998435812579543,2.490162955494572
4,12,4.387734674535491,2.5838905926788285,1.8135450572122878
4,13,3.198318418155562,2.6870859077201237,1.9874636379515525
4,14,1.7976003366252327,3.1023093609909536,1.785763101436037
5,0,1.606019428192852,2.559713289655908,1.8291659887379585
