X,Y,co_v0_j1__v0_j0,co_v0_j2__v0_j1,co_v0_j3__v0_j2
0,0,0.03,0.03,0.03
0,1,0.03,0.03,0.03
0,2,0.03,0.03,0.03
0,3,0.03,0.03,0.03
0,4,0.03,0.03,0.03
0,5,0.03,0.03,0.03
0,6,0.03,0.03,0.03
0,7,0.03,0.03,0.03
0,8,0.03,0.03,0.03
0,9,0.03,0.03,0.03
0,10,0.03,0.03,0.03
0,11,0.03,0.03,0.03
0,12,0.03,0.03,0.03
0,13,0.03,0.03,0.03
0,14,0.03,0.03,0.03
1,0,0.03,0.03,0.03
1,1,0.03,0.03,0.03
1,2,0.03,0.03,0.03
1,3,0.03,0.03,0.03
1,4,0.03,0.03,0.03
1,5,0.03,0.03,0.03
1,6,0.03,0.03,0.03
1,7,0.03,0.03,0.03
1,8,0.03,0.03,0.03
1,9,0.03,0.03,0.03
1,10,0.03,0.03,0.03
1,11,0.03,0.03,0.03
1,12,0.03,0.03,0.03
1,13,0.03,0.03,0.03
1,14,0.03,0.03,0.03
2,0,0.03,0.03,0.03
2,1,0.03,0.03,0.03
2,2,0.03,0.03,0.03
2,3,0.03,0.03,0.03
2,4,0.03,0.03,0.03
2,5,0.03,0.03,0.03
2,6,0.03,0.03,0.03
2,7,0.03,0.03,0.03
2,8,0.03,0.03,0.03
2,9,0.03,0.03,0.03
2,10,0.03,0.03,0.03
2,11,0.03,0.03,0.03
2,12,0.03,0.03,0.03
2,13,0.03,0.03,0.03
2,14,0.03,0.03,0.03
3,0,0.03,0.03,0.03
3,1,0.03,0.03,0.03
3,2,0.03,0.03,0.03
3,3,0.03,0.03,0.03
3,4,0.03,0.03,0.03
3,5,0.03,0.03,0.03
3,6,0.03,0.03,0.03
3,7,0.03,0.03,0.03
3,8,0.03,0.03,0.03
3,9,0.03,0.03,0.03
3,10,0.03,0.03,0.03
3,11,0.03,0.03,0.03
3,12,0.03,0.03,0.03
3,13,0.03,0.03,0.03
3,14,0.03,0.03,0.03
4,0,0.03,0.03,0.03
4,1,0.03,0.03,0.03
4,2,0.03,0.03,0.03
4,3,0.03,0.03,0.03
4,4,0.03,0.03,0.03
4,5,0.03,0.03,0.03
4,6,0.03,0.03,0.03
4,7,0.03,0.03,0.03
4,8,0.03,0.03,0.03
4,9,0.03,0.03,0.03
4,10,0.03,0.03,0.03
4,11,0.03,0.03,0.03
4,12,0.03,0.03,0.03
4,13,0.03,0.03,0.03
4,14,0.03,0.03,0.03
5,0,0.03,0.03,0.03
5,1,0.03,0.03,0.03
5,2,0.03,0.03,0.03
5,3,0.03,0.03,0.03
5,4,0.03,0.03,0.03
5,5,0.03,0.03,0.03
5,6,0.03,0.03,0.03
5,7,0.03,0.03,0.03
5,8,0.03,0.03,0.03
5,9,0.03,0.03,0.03
5,10,0.03,0.03,0.03
5,11,0.03,0.03,0.03
5,12,0.03,0.03,0.03
5,13,0.03,0.03,0.03
5,14,0.03,0.03,0.03
6,0,0.03,0.03,0.03
6,1,0.03,0.03,0.03
6,2,0.03,0.03,0.03
6,3,0.03,0.03,0.03
6,4,0.03,0.03,0.03
6,5,0.03,0.03,0.03
6,6,0.03,0.03,0.03
6,7,0.03,0.03,0.03
6,8,0.03,0.03,0.03
6,9,0.03,0.03,0.03
6,10,0.03,0.03,0.03
6,11,0.03,0.03,0.03
6,12,0.03,0.03,0.03
6,13,0.03,0.03,0.03
6,14,0.03,0.03,0.03
7,0,0.03,0.03,0.03
7,1,0.03,0.03,0.03
7,2,0.03,0.03,0.03
7,3,0.03,0.03,0.03
7,4,0.03,0.03,0.03
7,5,0.03,0.03,0.03
7,6,0.03,0.03,0.03
7,7,0.03,0.03,0.03
7,8,0.03,0.03,0.03
7,9,0.03,0.03,0.03
7,10,0.03,0.03,0.03
7,11,0.03,0.03,0.03
7,12,0.03,0.03,0.03
7,13,0.03,0.03,0.03
7,14,0.03,0.03,0.03
8,0,0.03,0.03,0.03
8,1,0.03,0.03,0.03
8,2,0.03,0.03,0.03
8,3,0.03,0.03,0.03
8,4,0.03,0.03,0.03
8,5,0.03,0.03,0.03
8,6,0.03,0.03,0.03
8,7,0.03,0.03,0.03
8,8,0.03,0.03,0.03
8,9,0.03,0.03,0.03
8,10,0.03,0.03,0.03
8,11,0.03,0.03,0.03
8,12,0.03,0.03,0.03
8,13,0.03,0.03,0.03
8,14,0.03,0.03,0.03
9,0,0.03,0.03,0.03
9,1,0.03,0.03,0.03
9,2,0.03,0.03,0.03
9,3,0.03,0.03,0.03
9,4,0.03,0.03,0.03
9,5,0.03,0.03,0.03
9,6,0.03,0.03,0.03
9,7,0.03,0.03,0.03
9,8,0.03,0.03,0.03
9,9,0.03,0.03,0.03
